ticket_id,title,category_reported,domain,priority,severity,status,created_at,resolved_at,description,symptoms,impact,service_component,environment,technology_stack,root_cause,resolution_steps,runbook_available,runbook_used,manual_intervention,true_category,predicted_category,confidence_score,resolution_time_minutes
INC-1001,Feature not working,Incident,Application / Backend Issues,P2,Medium,Resolved,2025-10-28 02:36:00,2025-10-29 13:36:00,Export to CSV button does nothing. Affecting multiple users.,"No network request sent when clicking export button, console shows JS TypeError.","Users unable to export reports, blocking end-of-day workflows.",Checkout Service,Production,"Python, FastAPI",Recent refactor broke event listener binding on dynamic elements.,1. Reverted UI component commit. 2. Cleared CDN cache. 3. Re-deployed.,False,False,False,Incident,Incident,0.79,2100
INC-1002,Duplicate alerts firing,Incident,Monitoring / Alert Noise,P2,High,Resolved,2025-11-09 06:50:00,2025-11-10 07:50:00,"Hey team, Receiving 50+ PagerDuty pages for the same event within 2 minutes.",Receiving 50+ PagerDuty pages for the same CPU spike event within 2 minutes.,"On-call engineer overwhelmed, real alerts buried in noise.",Grafana,Production,ELK Stack,Alertmanager group_wait and group_interval misconfigured after config refactor.,1. Updated group_wait=30s and group_interval=5m. 2. Reloaded config. 3. Tested with firing rule.,False,False,True,Incident,Incident,0.94,1500
INC-1003,Intermittent packet loss,Incident,Network / Connectivity Issues,P2,High,In Progress,2025-09-18 13:27:00,,"2-5% ping loss between nodes, TCP retransmits elevated. Need a fix ASAP.",Ping loss between nodes 2-5% intermittently. TCP retransmits elevated.,"Degraded performance for all real-time features, chat and notifications affected.",Internal Mesh,Staging,Istio,Pending investigation,Pending investigation,False,False,True,Incident,Incident,0.94,
INC-1004,OAuth token refresh broken,Incident,Authentication / Authorization Issues,P3,Low,Closed,2025-10-19 15:57:00,2025-10-21 08:57:00,"pls check ASAP: API clients getting 401 after 1 hour, refresh token invalid.",API clients getting 401 after 1 hour. Refresh token call returns invalid_grant.,All API integrations failing after initial token expires.,Auth Service,Staging,Keycloak,Refresh token invalidated on any login event due to misconfigured session policy.,1. Identified session policy setting. 2. Disabled rotate-on-login. 3. Reissued tokens.,False,False,True,Incident,Incident,0.95,2460
INC-1005,One-off job failure,Bug,Misc / Edge / New Issues,P2,High,Closed,2025-08-10 10:47:00,2025-08-14 13:47:00,"Hey team, Nightly report generation failed once at 3 AM, no recurrence.",Nightly report generation failed once at 3 AM. No recurrence.,"Finance team missing one daily report, manually regenerated.",Webapp,Production,React,Transient network blip to external API during report generation window.,1. Manually triggered report. 2. Added retry with exponential backoff. 3. Monitored.,True,True,False,Bug,Bug,0.81,5940
INC-1006,Slow query degrading API response,Bug,Application / Backend Issues,P2,Medium,In Progress,2025-09-19 06:05:00,,Orders endpoint latency spiked from 200ms to 8 seconds. It was working fine yesterday.,P99 latency spiking from 200ms to 8s on /orders endpoint.,Order confirmation page timing out for ~15% of users.,Frontend Webapp,Production,"Python, FastAPI",Pending investigation,Pending investigation,True,True,False,Bug,Bug,0.92,
INC-1007,Implement mTLS across service mesh,Improvement / Task,Network / Connectivity Issues,P2,Medium,Closed,2026-01-21 01:38:00,2026-01-24 05:38:00,Tech debt item: Security audit found internal service-to-service traffic is unencrypted. mTLS needs to be enforced.,Security audit found internal service-to-service traffic unencrypted.,Risk of lateral movement if network is compromised.,Load Balancer,Production,"WireGuard, Linux","Istio mTLS set to PERMISSIVE mode, never enforced.",1. Gradually enabled STRICT mTLS per namespace. 2. Fixed services failing handshake. 3. Enforced globally.,False,False,True,Improvement / Task,Improvement / Task,0.88,4560
INC-1008,ArgoCD app out of sync,Incident,CI/CD & Deployment Issues,P1,High,In Progress,2025-09-23 16:02:00,,FYI - ArgoCD showing OutOfSync but sync fails with permission error. Any ideas?,ArgoCD showing app OutOfSync but sync button fails with permission error.,"Config changes not deploying, manual kubectl apply required as workaround.",Jenkins,Production,"ArgoCD, Kustomize",Pending investigation,Pending investigation,True,False,True,Incident,Incident,0.92,
INC-1009,Feature not working,Bug,Application / Backend Issues,P3,Medium,Resolved,2026-01-07 16:23:00,2026-01-08 16:23:00,Customer reported: Export to CSV button does nothing.,"No network request sent when clicking export button, console shows JS TypeError.","Users unable to export reports, blocking end-of-day workflows.",Frontend Webapp,Production,"Python, FastAPI",Recent refactor broke event listener binding on dynamic elements.,1. Reverted UI component commit. 2. Cleared CDN cache. 3. Re-deployed.,False,False,False,Bug,Bug,0.86,1440
INC-1010,Implement connection pooling,Improvement / Task,Database Issues,P2,Low,Resolved,2025-08-11 10:50:00,2025-08-11 14:50:00,FYI - DB connection count grows linearly with service instances. Risk of exhaustion as we scale.,DB connection count growing linearly with service instances.,Risk of connection exhaustion as we scale horizontally.,Analytics DB,Production,"PostgreSQL, PgBouncer",Services connecting directly to DB without a connection pooler.,1. Evaluated PgBouncer. 2. Deployed in transaction mode. 3. Tuned pool sizes.,False,False,True,Improvement / Task,Improvement / Task,0.92,240
